,Rank,Player Name,Team,Successful,Errors,Attempts,Average per match,Success %,Total,Year
147,43,Štalekar,SLO,0,1,1,0.00,0.00,2,2021
148,43,Z. Štern,SLO,0,0,10,0.00,0.00,10,2021
149,43,Čebulj,SLO,0,1,48,0.00,0.00,49,2021
150,43,Možič,SLO,0,1,10,0.00,0.00,11,2021
151,43,Ter Horst,NED,0,0,13,0.00,0.00,13,2021
152,43,Van Der Ent,NED,0,0,2,0.00,0.00,2,2021
153,43,Dronkers,NED,0,0,55,0.00,0.00,55,2021
154,43,Jorna,NED,0,0,0,,,0,2021
155,43,van Zeist,NED,0,0,1,0.00,0.00,1,2021
156,43,Tuinstra,NED,0,2,27,0.00,0.00,29,2021
157,43,Ottevanger,NED,0,0,17,0.00,0.00,17,2021
158,43,Nimir,NED,0,1,13,0.00,0.00,14,2021
159,43,Parkinson,NED,0,0,1,0.00,0.00,1,2021
160,43,van Schie,NED,0,0,0,,,0,2021
161,43,Wiltenburg,NED,0,0,4,0.00,0.00,4,2021
162,43,van Tilburg,NED,0,0,8,0.00,0.00,8,2021
163,43,Podlesnykh,RUS,0,0,11,0.00,0.00,11,2021
164,43,Vlasov,RUS,0,0,3,0.00,0.00,3,2021
165,43,Volvich,RUS,0,1,5,0.00,0.00,6,2021
166,43,Semyshev,RUS,0,0,1,0.00,0.00,1,2021
167,43,Baranov,RUS,0,0,15,0.00,0.00,15,2021
168,43,Volkov,RUS,0,1,20,0.00,0.00,21,2021
169,43,Bogdan,RUS,0,0,18,0.00,0.00,18,2021
170,43,Poletaev,RUS,0,0,2,0.00,0.00,2,2021
171,43,Mikhaylov,RUS,0,2,14,0.00,0.00,16,2021
172,43,Kurkaev,RUS,0,0,7,0.00,0.00,7,2021
173,43,Golubev,RUS,0,0,43,0.00,0.00,43,2021
174,43,Ensing,USA,0,0,7,0.00,0.00,7,2021
175,43,Defalco,USA,0,0,31,0.00,0.00,31,2021
176,43,Hanes,USA,0,0,1,0.00,0.00,1,2021
177,43,Patch,USA,0,0,5,0.00,0.00,5,2021
178,43,B. Sander,USA,0,0,4,0.00,0.00,4,2021
179,43,Jaeschke,USA,0,0,7,0.00,0.00,7,2021
180,43,Muagututia,USA,0,0,12,0.00,0.00,12,2021
181,43,Averill,USA,0,0,2,0.00,0.00,2,2021
182,43,Smith,USA,0,0,12,0.00,0.00,12,2021
183,43,Watten,USA,0,0,10,0.00,0.00,10,2021
184,43,E. Shoji,USA,0,0,59,0.00,0.00,59,2021
185,43,Perrin,CAN,0,2,30,0.00,0.00,32,2021
186,43,Hoag,CAN,0,1,25,0.00,0.00,26,2021
187,43,Pereira,CAN,0,0,2,0.00,0.00,2,2021
188,43,Maar,CAN,0,1,9,0.00,0.00,10,2021
189,43,Sclater,CAN,0,0,6,0.00,0.00,6,2021
190,43,Jansen Vandoorn,CAN,0,0,3,0.00,0.00,3,2021
191,43,Loeppky,CAN,0,1,12,0.00,0.00,13,2021
192,43,Vigrass,CAN,0,1,2,0.00,0.00,3,2021
193,43,Bann,CAN,0,1,55,0.00,0.00,56,2021
194,43,Szwarc,CAN,0,3,8,0.00,0.00,11,2021
195,43,Demyanenko,CAN,0,0,0,,,0,2021
196,43,Muzaj,POL,0,0,7,0.00,0.00,7,2021
197,43,Kurek,POL,0,0,14,0.00,0.00,14,2021
198,43,Leon,POL,0,0,13,0.00,0.00,13,2021
199,43,Wojtaszek,POL,0,1,17,0.00,0.00,18,2021
200,43,Kochanowski,POL,0,0,2,0.00,0.00,2,2021
201,43,Semeniuk,POL,0,0,12,0.00,0.00,12,2021
202,43,Zatorski,POL,0,0,37,0.00,0.00,37,2021
203,43,Bieniek,POL,0,0,5,0.00,0.00,5,2021
204,43,Fornal,POL,0,0,4,0.00,0.00,4,2021
205,43,Bednorz,POL,0,0,8,0.00,0.00,8,2021
206,43,Kłos,POL,0,0,2,0.00,0.00,2,2021
207,43,Huber,POL,0,0,0,,,0,2021
208,43,Balaso,ITA,0,0,111,0.00,0.00,111,2021
209,43,Galassi,ITA,0,0,2,0.00,0.00,2,2021
210,43,Michieletto,ITA,0,0,22,0.00,0.00,22,2021
211,43,Nelli,ITA,0,2,20,0.00,0.00,22,2021
212,43,Pinali,ITA,0,0,5,0.00,0.00,5,2021
213,43,Cavuto,ITA,0,1,5,0.00,0.00,6,2021
214,43,Cortesia,ITA,0,0,7,0.00,0.00,7,2021
215,43,Scanferla,ITA,0,0,0,,,0,2021
216,43,Recine,ITA,0,0,12,0.00,0.00,12,2021
217,43,Bottolo,ITA,0,0,7,0.00,0.00,7,2021
218,43,Mosca,ITA,0,1,5,0.00,0.00,6,2021
219,43,Federici,ITA,0,0,4,0.00,0.00,4,2021
220,43,Leal,BRA,0,0,14,0.00,0.00,14,2021
221,43,Matheus,BRA,0,0,1,0.00,0.00,1,2021
222,43,Vaccari,BRA,0,0,1,0.00,0.00,1,2021
223,43,Isac,BRA,0,0,5,0.00,0.00,5,2021
224,43,Douglas,BRA,0,0,32,0.00,0.00,32,2021
225,43,Thales,BRA,0,1,66,0.00,0.00,67,2021
226,43,Lucarelli,BRA,0,0,34,0.00,0.00,34,2021
227,43,Roque,BRA,0,0,0,,,0,2021
228,43,Flavio,BRA,0,0,9,0.00,0.00,9,2021
229,43,Pereyra L.,ARG,0,1,13,0.00,0.00,14,2021
230,43,Martinez Franchi,ARG,0,0,11,0.00,0.00,11,2021
231,43,Conte,ARG,0,1,31,0.00,0.00,32,2021
232,43,Palonsky,ARG,0,0,1,0.00,0.00,1,2021
233,43,Mendez,ARG,0,0,15,0.00,0.00,15,2021
234,43,Ramos,ARG,0,1,3,0.00,0.00,4,2021
235,43,Morteza,IRI,0,1,2,0.00,0.00,3,2021
236,43,Saadat,IRI,0,0,4,0.00,0.00,4,2021
237,43,Plak,NED,0,0,4,0.00,0.00,4,2021
238,43,Andringa,NED,0,0,32,0.00,0.00,32,2021
239,43,Macdonald,AUS,0,0,0,,,0,2021
240,43,Kaczmarek,POL,0,0,1,0.00,0.00,1,2021
241,43,Kubiak,POL,0,1,36,0.00,0.00,37,2021
242,43,Śliwka,POL,0,0,8,0.00,0.00,8,2021
243,43,Janusz,POL,0,0,0,,,0,2021
