,Rank,Player Name,Team,Succesful,Errors,Attemps,Average per match,Success %,Total,Year
269,75,Sanchez Pages,ARG,0,0,0,,,0,2021
270,75,Maase,GER,0,0,0,,,0,2021
271,75,Javad,IRI,0,0,1,0.00,0.00,1,2021
272,75,Komenda,POL,0,0,0,,,0,2021
273,75,Nishida,JPN,0,0,0,,,0,2021
274,75,João Rafael,BRA,0,0,1,0.00,0.00,1,2021
275,75,Lucas,BRA,0,0,1,0.00,0.00,1,2021
276,75,Iakovlev,RUS,0,0,0,,,0,2021
277,1,Danani,ARG,87,10,116,7.25,40.85,213,2022
278,2,Russell,USA,79,11,184,5.27,28.83,274,2022
279,3,Pope,AUS,75,23,136,6.25,32.05,234,2022
280,4,Zenger,GER,74,15,123,6.73,34.91,212,2022
281,5,Yamamoto,JPN,72,9,93,5.54,41.38,174,2022
282,6,Thales,BRA,71,12,94,5.46,40.11,177,2022
283,7,Ishikawa,JPN,67,8,112,5.58,35.83,187,2022
284,8,Defalco,USA,65,15,171,5.91,25.90,251,2022
285,8,E. Shoji,USA,65,10,87,5.91,40.12,162,2022
286,9,Atanasov,BUL,64,10,165,5.33,26.78,239,2022
287,10,Palacios,ARG,63,21,189,5.25,23.08,273,2022
288,11,A. Nikolov,BUL,62,31,230,5.17,19.20,323,2022
289,12,Andringa,NED,60,10,144,4.62,28.04,214,2022
290,13,Zhang J.Y.,CHN,59,18,199,5.90,21.38,276,2022
291,13,Hazrat,IRI,59,9,136,4.54,28.92,204,2022
292,13,Esfandiar,IRI,59,22,173,4.54,23.23,254,2022
293,13,Louati,FRA,59,24,147,4.21,25.65,230,2022
294,14,Ngapeth,FRA,58,4,109,4.14,33.92,171,2022
295,15,Clevenot,FRA,55,8,93,5.50,35.26,156,2022
296,16,Lucarelli,BRA,54,9,103,6.00,32.53,166,2022
297,17,Reichert,GER,53,7,103,4.82,32.52,163,2022
298,17,Ran,JPN,53,6,125,4.08,28.80,184,2022
299,17,Michieletto,ITA,53,16,152,4.82,23.98,221,2022
300,18,Milad,IRI,51,23,136,3.92,24.29,210,2022
301,18,Tuinstra,NED,51,15,167,3.92,21.89,233,2022
302,19,Perry,AUS,50,4,76,6.25,38.46,130,2022
303,20,Brand,GER,47,12,111,4.27,27.65,170,2022
304,21,Maar,CAN,45,12,164,3.75,20.36,221,2022
305,22,Vicentin,ARG,44,7,108,3.67,27.67,159,2022
306,23,Diez,FRA,43,9,78,3.07,33.08,130,2022
307,24,Dagostino,USA,42,4,54,2.80,42.00,100,2022
308,25,Jorna,NED,41,5,106,3.15,26.97,152,2022
309,26,Možič,SLO,40,13,95,3.33,27.03,148,2022
310,27,Kovačič,SLO,39,12,123,3.90,22.41,174,2022
311,27,Fromm,GER,39,22,158,3.55,17.81,219,2022
