,Rank,Player Name,Team,Succesful,Errors,Attemps,Average per match,Success %,Total,Year
157,74,Cross,CAN,1,4,10,0.07,6.67,15,2021
158,74,Mayany,BRA,1,0,2,0.08,33.33,3,2021
159,74,Poulter,USA,1,2,2,0.08,20.00,5,2021
160,74,Akutagawa,JPN,1,0,0,0.11,100.00,1,2021
161,75,Savelkoel,NED,0,0,0,,,0,2021
162,75,Korevaar,NED,0,0,0,,,0,2021
163,75,Van Aalen,NED,0,0,0,,,0,2021
164,75,Bongaerts,NED,0,2,0,0.00,0.00,2,2021
165,75,de Zwart,NED,0,0,0,,,0,2021
166,75,Scholten,NED,0,1,0,0.00,0.00,1,2021
167,75,Van Sas,BEL,0,0,0,,,0,2021
168,75,Gilson,BEL,0,1,9,0.00,0.00,10,2021
169,75,Janssens,BEL,0,0,4,0.00,0.00,4,2021
170,75,De Valkeneer,BEL,0,0,3,0.00,0.00,3,2021
171,75,Van de Vyver J.,BEL,0,0,0,,,0,2021
172,75,Van de Vyver I.,BEL,0,2,3,0.00,0.00,5,2021
173,75,Özbay,TUR,0,0,2,0.00,0.00,2,2021
174,75,Güveli,TUR,0,0,0,,,0,2021
175,75,Naz,TUR,0,0,1,0.00,0.00,1,2021
176,75,Boz,TUR,0,0,1,0.00,0.00,1,2021
177,75,Kalaç,TUR,0,0,1,0.00,0.00,1,2021
178,75,Jaksic,SRB,0,2,0,0.00,0.00,2,2021
179,75,Djordjevic,SRB,0,0,0,,,0,2021
180,75,Medic,SRB,0,0,5,0.00,0.00,5,2021
181,75,Savic,SRB,0,0,0,,,0,2021
182,75,Delic,SRB,0,0,0,,,0,2021
183,75,Kästner,GER,0,1,1,0.00,0.00,2,2021
184,75,Imoudu,GER,0,1,0,0.00,0.00,1,2021
185,75,Drewniok,GER,0,0,0,,,0,2021
186,75,"Bock, J.",GER,0,0,0,,,0,2021
187,75,Malygina,RUS,0,0,0,,,0,2021
188,75,Goncharova,RUS,0,0,3,0.00,0.00,3,2021
189,75,Startseva,RUS,0,0,4,0.00,0.00,4,2021
190,75,Lazareva E.,RUS,0,0,0,,,0,2021
191,75,Tashiro,JPN,0,0,0,,,0,2021
192,75,Okumura,JPN,0,0,5,0.00,0.00,5,2021
193,75,Momii,JPN,0,0,1,0.00,0.00,1,2021
194,75,M.Sirima,THA,0,0,0,,,0,2021
195,75,Tirawan,THA,0,0,0,,,0,2021
196,75,T.Nootsara,THA,0,1,3,0.00,0.00,4,2021
197,75,N.Watchareeya,THA,0,1,2,0.00,0.00,3,2021
198,75,Diao L.Y.,CHN,0,0,1,0.00,0.00,1,2021
199,75,Gao Y.,CHN,0,1,1,0.00,0.00,2,2021
200,75,Wang Y.Y.,CHN,0,2,1,0.00,0.00,3,2021
201,75,Yao D.,CHN,0,0,0,,,0,2021
202,75,Zheng Y.X.,CHN,0,0,2,0.00,0.00,2,2021
203,75,Dahyeon,KOR,0,2,1,0.00,0.00,3,2021
204,75,Dain,KOR,0,1,2,0.00,0.00,3,2021
205,75,Hyejin,KOR,0,0,0,,,0,2021
206,75,Eunjin,KOR,0,2,1,0.00,0.00,3,2021
207,75,Dominguez,DOM,0,0,0,,,0,2021
208,75,Marte,DOM,0,0,0,,,0,2021
209,75,Mambru,DOM,0,0,0,,,0,2021
210,75,Jineiry,DOM,0,1,5,0.00,0.00,6,2021
211,75,Gaila,DOM,0,0,1,0.00,0.00,1,2021
212,75,Hancock,USA,0,0,1,0.00,0.00,1,2021
213,75,Dixon,USA,0,0,0,,,0,2021
214,75,Carlini,USA,0,0,0,,,0,2021
215,75,Drews,USA,0,0,0,,,0,2021
216,75,Thompson,USA,0,0,0,,,0,2021
217,75,Washington,USA,0,0,2,0.00,0.00,2,2021
218,75,Bosio,ITA,0,1,0,0.00,0.00,1,2021
219,75,Bonifacio,ITA,0,0,1,0.00,0.00,1,2021
220,75,Nwakalor S.,ITA,0,1,0,0.00,0.00,1,2021
221,75,Mingardi,ITA,0,0,1,0.00,0.00,1,2021
222,75,Lubian,ITA,0,0,2,0.00,0.00,2,2021
223,75,Mazzaro,ITA,0,0,1,0.00,0.00,1,2021
224,75,Battistoni,ITA,0,0,0,,,0,2021
225,75,Furlan,ITA,0,1,0,0.00,0.00,1,2021
226,75,Nowicka,POL,0,0,5,0.00,0.00,5,2021
227,75,Alagierska,POL,0,0,6,0.00,0.00,6,2021
228,75,Jagła,POL,0,0,0,,,0,2021
229,75,Łazowska,POL,0,0,0,,,0,2021
230,75,Dani Lins,BRA,0,1,0,0.00,0.00,1,2021
231,75,Adenizia,BRA,0,0,1,0.00,0.00,1,2021
232,75,Macris,BRA,0,2,3,0.00,0.00,5,2021
233,75,Tandara,BRA,0,1,1,0.00,0.00,2,2021
234,75,Sheilla,BRA,0,0,0,,,0,2021
235,75,Carol,BRA,0,1,0,0.00,0.00,1,2021
236,75,Lorenne,BRA,0,0,0,,,0,2021
237,75,Smith,CAN,0,0,0,,,0,2021
238,75,White,CAN,0,0,0,,,0,2021
239,75,Van Buskirk,CAN,0,0,1,0.00,0.00,1,2021
240,75,Brie,CAN,0,3,2,0.00,0.00,5,2021
241,75,Joseph,CAN,0,0,0,,,0,2021
242,75,Austin,CAN,0,1,4,0.00,0.00,5,2021
243,75,P.Gullapa,THA,0,0,0,,,0,2021
244,75,Hye Seon,KOR,0,0,4,0.00,0.00,4,2021
245,75,Lemmens,BEL,0,0,1,0.00,0.00,1,2021
246,75,Krenicky,BEL,0,0,0,,,0,2021
247,75,Gorbunova,RUS,0,0,1,0.00,0.00,1,2021
248,75,Matveeva,RUS,0,0,2,0.00,0.00,2,2021
249,75,Roberta,BRA,0,0,1,0.00,0.00,1,2021
250,75,Perez,DOM,0,0,0,,,0,2021
251,75,Robitaille,CAN,0,0,2,0.00,0.00,2,2021
252,75,Druzkowska,POL,0,0,0,,,0,2021
253,75,Gryka,POL,0,0,1,0.00,0.00,1,2021
254,75,Lohuis,NED,0,0,2,0.00,0.00,2,2021
255,75,Meijers,NED,0,0,0,,,0,2021
256,75,Cekulaev,GER,0,0,0,,,0,2021
257,75,Ogoms,CAN,0,0,1,0.00,0.00,1,2021
258,75,Bukilić,SRB,0,0,0,,,0,2021
259,75,Ogbogu,USA,0,0,1,0.00,0.00,1,2021
260,75,Pipunyrova,RUS,0,1,6,0.00,0.00,7,2021
261,75,Plak,NED,0,0,1,0.00,0.00,1,2021
262,75,Güneş,TUR,0,1,0,0.00,0.00,1,2021
263,75,Soraya,THA,0,0,1,0.00,0.00,1,2021
264,75,H. Jasper,NED,0,0,0,,,0,2021
265,75,Lazareva,RUS,0,0,0,,,0,2021
266,75,Buse,TUR,0,0,1,0.00,0.00,1,2021
267,75,S. Sahin,TUR,0,0,0,,,0,2021
