,Rank,Player Name,Team,Points,Errors,Attempts,Average per match,Success %,Total,Year
118,73,Holt,USA,40,7,28,3.33,53.33,75,2021
119,73,Maar,CAN,40,14,43,4.00,41.24,97,2021
120,74,Stahl,USA,39,7,25,3.00,54.93,71,2021
121,75,Mendez,ARG,38,17,37,2.53,41.30,92,2021
122,75,Van Berkel,CAN,38,5,20,2.71,60.32,63,2021
123,76,Petrov,BUL,37,17,41,2.47,38.95,95,2021
124,76,Kartev,BUL,37,10,20,2.85,55.22,67,2021
125,76,Z. Štern,SLO,37,9,30,2.18,48.68,76,2021
126,76,Muzaj,POL,37,13,41,3.36,40.66,91,2021
127,77,Bogdan,RUS,36,12,35,2.40,43.37,83,2021
128,77,M. Souza,BRA,36,6,22,2.77,56.25,64,2021
129,77,Nishida,JPN,36,13,21,7.20,51.43,70,2021
130,78,Fornal,POL,35,6,19,2.92,58.33,60,2021
131,79,Garrett,AUS,33,37,61,2.75,25.19,131,2021
132,79,Fukuzawa,JPN,33,20,29,2.36,40.24,82,2021
133,79,A.Ghafour,IRI,33,13,12,6.60,56.90,58,2021
134,79,Mauricio,BRA,33,18,29,1.94,41.25,80,2021
135,80,Jansen Vandoorn,CAN,32,10,16,2.13,55.17,58,2021
136,80,Nowakowski,POL,32,3,13,2.67,66.67,48,2021
137,80,Muserskiy,RUS,32,5,22,4.57,54.24,59,2021
138,81,S.Ivanov,BUL,31,9,36,2.82,40.79,76,2021
139,82,Senica,AUS,30,16,42,2.00,34.09,88,2021
140,82,Lee,JPN,30,6,18,2.00,55.56,54,2021
141,83,Faure,FRA,29,10,20,5.80,49.15,59,2021
142,84,Chavdarov,BUL,28,2,19,2.15,57.14,49,2021
143,85,Šket,SLO,27,4,35,1.69,40.91,66,2021
144,86,Brizard,FRA,26,2,12,1.62,65.00,40,2021
145,86,Vigrass,CAN,26,1,14,3.25,63.41,41,2021
146,86,Kłos,POL,26,5,8,2.36,66.67,39,2021
147,86,Kujundžić,SRB,26,8,28,1.86,41.94,62,2021
148,87,Böhme,GER,25,4,13,1.92,59.52,42,2021
149,87,Dosanjh,AUS,25,7,33,1.67,38.46,65,2021
150,87,Kentaro,JPN,25,4,14,2.50,58.14,43,2021
151,87,Mojarad,IRI,25,5,14,2.27,56.82,44,2021
152,88,Jendryk,USA,23,2,18,1.77,53.49,43,2021
153,89,Taylor,AUS,22,15,23,1.47,36.67,60,2021
154,90,Bednorz,POL,21,15,25,2.33,34.43,61,2021
155,90,Morteza,IRI,21,8,21,1.91,42.00,50,2021
156,91,Gasparini,SLO,19,8,19,1.19,41.30,46,2021
157,91,Lucas,BRA,19,5,17,3.80,46.34,41,2021
