,Rank,Player Name,Team,Successful,Errors,Attempts,Average per match,Success %,Total,Year
150,44,T.Pleumjit,THA,0,1,32,0.00,0.00,33,2021
151,44,Tirawan,THA,0,0,0,,,0,2021
152,44,C.Sutadta,THA,0,0,18,0.00,0.00,18,2021
153,44,A.Wilavan,THA,0,0,26,0.00,0.00,26,2021
154,44,H.Amporn,THA,0,0,6,0.00,0.00,6,2021
155,44,C.Tapaphaipun,THA,0,0,18,0.00,0.00,18,2021
156,44,Pattiya,THA,0,0,1,0.00,0.00,1,2021
157,44,K.Karina,THA,0,1,11,0.00,0.00,12,2021
158,44,N.Watchareeya,THA,0,0,2,0.00,0.00,2,2021
159,44,Gao Y.,CHN,0,0,3,0.00,0.00,3,2021
160,44,Wang Y.Y.,CHN,0,0,13,0.00,0.00,13,2021
161,44,Li Y.,CHN,0,1,18,0.00,0.00,19,2021
162,44,Zhang C.N.,CHN,0,0,20,0.00,0.00,20,2021
163,44,Liu X.T.,CHN,0,0,11,0.00,0.00,11,2021
164,44,Zheng Y.X.,CHN,0,0,0,,,0,2021
165,44,Liu Y.H.,CHN,0,1,4,0.00,0.00,5,2021
166,44,Duan F.,CHN,0,0,6,0.00,0.00,6,2021
167,44,Soyoung,KOR,0,0,18,0.00,0.00,18,2021
168,44,Dahyeon,KOR,0,0,6,0.00,0.00,6,2021
169,44,Dahye,KOR,0,0,14,0.00,0.00,14,2021
170,44,Eunjin,KOR,0,0,13,0.00,0.00,13,2021
171,44,Kim Yeon Koung,KOR,0,1,71,0.00,0.00,72,2021
172,44,Songyi,KOR,0,1,5,0.00,0.00,6,2021
173,44,Yang Hyo Jin,KOR,0,0,19,0.00,0.00,19,2021
174,44,Seoyoung,KOR,0,0,0,,,0,2021
175,44,Jiyun J.,KOR,0,0,23,0.00,0.00,23,2021
176,44,Seungju,KOR,0,0,3,0.00,0.00,3,2021
177,44,Valdez,DOM,0,0,3,0.00,0.00,3,2021
178,44,Eve,DOM,0,0,4,0.00,0.00,4,2021
179,44,Rodriguez,DOM,0,0,3,0.00,0.00,3,2021
180,44,Rivera,DOM,0,0,15,0.00,0.00,15,2021
181,44,Peña Isabel,DOM,0,0,13,0.00,0.00,13,2021
182,44,Mambru,DOM,0,0,4,0.00,0.00,4,2021
183,44,De La Cruz,DOM,0,0,23,0.00,0.00,23,2021
184,44,Martinez,DOM,0,1,14,0.00,0.00,15,2021
185,44,Jineiry,DOM,0,0,23,0.00,0.00,23,2021
186,44,Gaila,DOM,0,0,8,0.00,0.00,8,2021
187,44,Larysmer,DOM,0,0,0,,,0,2021
188,44,Dixon,USA,0,1,0,0.00,0.00,1,2021
189,44,Tapp,USA,0,0,1,0.00,0.00,1,2021
190,44,Drews,USA,0,2,8,0.00,0.00,10,2021
191,44,Parsons,USA,0,0,4,0.00,0.00,4,2021
192,44,Hill,USA,0,0,9,0.00,0.00,9,2021
193,44,Akinradewo,USA,0,1,3,0.00,0.00,4,2021
194,44,Courtney,USA,0,0,8,0.00,0.00,8,2021
195,44,Washington,USA,0,0,5,0.00,0.00,5,2021
196,44,Bonifacio,ITA,0,1,10,0.00,0.00,11,2021
197,44,Nwakalor S.,ITA,0,0,15,0.00,0.00,15,2021
198,44,Mingardi,ITA,0,0,9,0.00,0.00,9,2021
199,44,Lubian,ITA,0,0,13,0.00,0.00,13,2021
200,44,Mazzaro,ITA,0,0,9,0.00,0.00,9,2021
201,44,Furlan,ITA,0,0,3,0.00,0.00,3,2021
202,44,Melli,ITA,0,0,16,0.00,0.00,16,2021
203,44,D'Odorico,ITA,0,0,13,0.00,0.00,13,2021
