,Rank,Player Name,Team,Points,Errors,Attempts,Average per match,Success %,Total,Year
711,87,S. Sahin,TUR,13,10,17,0.87,32.50,40,2023
712,88,B. Jarasporn,THA,12,3,18,1.00,36.36,33,2023
713,89,Peralta,DOM,11,5,12,0.92,39.29,28,2023
714,89,Yang H.Y.,CHN,11,3,14,0.73,39.29,28,2023
715,89,Drča,SRB,11,4,6,1.38,52.38,21,2023
716,89,Stanchulova,BUL,11,11,21,1.38,25.58,43,2023
717,90,Agbortabi,GER,10,6,16,0.77,31.25,32,2023
718,90,G. Pornpun,THA,10,1,12,0.83,43.48,23,2023
719,90,Barakova,BUL,10,3,19,0.83,31.25,32,2023
720,91,Maase,GER,9,0,4,2.25,69.23,13,2023
721,91,Seki,JPN,9,2,11,0.69,40.91,22,2023
722,91,Marte,DOM,9,3,13,0.75,36.00,25,2023
723,91,Mirković,SRB,9,1,12,1.12,40.91,22,2023
724,91,Carlini,USA,9,1,5,1.29,60.00,15,2023
725,92,Van Aalen,NED,8,3,4,0.67,53.33,15,2023
726,92,Bosio,ITA,8,3,8,0.62,42.11,19,2023
727,92,Diao L.Y.,CHN,8,3,14,0.53,32.00,25,2023
728,92,Đapić,CRO,8,5,7,1.00,40.00,20,2023
729,93,Fedusio,POL,7,5,6,0.47,38.89,18,2023
730,93,Paskova,BUL,7,1,12,7.00,35.00,20,2023
731,93,Macris,BRA,7,2,12,0.54,33.33,21,2023
732,94,Tanaka,JPN,6,2,12,0.75,30.00,20,2023
733,94,Wenerska,POL,6,0,12,0.40,33.33,18,2023
734,94,Antunović,CRO,6,2,18,0.50,23.08,26,2023
735,94,Krivoshiyska,BUL,6,1,16,0.50,26.09,23,2023
736,94,Milenković,SRB,6,2,11,0.50,31.58,19,2023
737,94,Bongaerts,NED,6,0,8,0.75,42.86,14,2023
738,94,Güveli,TUR,6,3,1,0.75,60.00,10,2023
739,95,H. Jasper,NED,5,5,9,0.62,26.32,19,2023
740,95,Mulder,NED,5,4,7,1.25,31.25,16,2023
741,95,Tamaki,JPN,5,1,3,0.62,55.56,9,2023
742,95,Tomić,CRO,5,4,5,1.25,35.71,14,2023
743,95,Gao Y.,CHN,5,1,8,0.33,35.71,14,2023
744,95,Özbay,TUR,5,1,7,0.33,38.46,13,2023
745,96,Kästner,GER,4,1,13,0.31,22.22,18,2023
746,96,J. Sasipapron,THA,4,7,12,0.50,17.39,23,2023
747,96,Savard,CAN,4,1,6,1.00,36.36,11,2023
748,96,Zhong H.,CHN,4,4,12,0.27,20.00,20,2023
749,96,Evans,USA,4,1,3,0.50,50.00,8,2023
750,96,Akman,TUR,4,1,4,1.00,44.44,9,2023
751,96,Ognjenović,SRB,4,0,4,1.00,50.00,8,2023
752,97,Shimamura,JPN,3,2,5,0.75,30.00,10,2023
753,97,Strize,CRO,3,2,5,0.38,30.00,10,2023
754,97,C.Sutadta,THA,3,3,13,0.75,15.79,19,2023
755,98,Nowicka,POL,2,1,1,0.13,50.00,4,2023
756,98,Krasteva,BUL,2,1,3,0.17,33.33,6,2023
757,98,Dain,KOR,2,2,9,0.25,15.38,13,2023
758,98,Shibata,JPN,2,1,2,0.40,40.00,5,2023
759,98,Roberta,BRA,2,0,3,0.22,40.00,5,2023
760,98,Lorenne,BRA,2,4,4,0.50,20.00,10,2023
761,98,Jiwon,KOR,2,0,4,0.25,33.33,6,2023
762,99,Vos,NED,1,2,7,0.08,10.00,10,2023
763,99,Tapia,DOM,1,0,4,0.09,20.00,5,2023
764,99,Hinojosa,DOM,1,1,2,0.08,25.00,4,2023
765,99,Nwakalor L.,ITA,1,1,7,0.08,11.11,9,2023
766,99,Deak,CRO,1,0,4,0.08,20.00,5,2023
767,99,Neykova,BUL,1,1,2,0.08,25.00,4,2023
768,99,Lorena,BRA,1,1,2,0.08,25.00,4,2023
769,99,Hye Seon,KOR,1,2,1,0.08,25.00,4,2023
770,99,Ogoms,CAN,1,1,4,0.12,16.67,6,2023
771,99,Watanabe,JPN,1,0,1,0.25,50.00,2,2023
772,99,Jaksic,SRB,1,0,0,0.25,100.00,1,2023
773,99,Soraya,THA,1,0,4,0.25,20.00,5,2023
774,99,Diken,TUR,1,0,0,0.25,100.00,1,2023
775,100,Cesar,GER,0,0,0,,,0,2023
776,100,Pogany,GER,0,0,0,,,0,2023
777,100,Glaab,GER,0,0,2,0.00,0.00,2,2023
778,100,Cekulaev,GER,0,1,4,0.00,0.00,5,2023
779,100,Knip,NED,0,0,0,,,0,2023
780,100,de Haan,NED,0,0,0,,,0,2023
781,100,Dijkema,NED,0,0,1,0.00,0.00,1,2023
782,100,Stuut,NED,0,0,0,,,0,2023
783,100,Reesink,NED,0,0,0,,,0,2023
784,100,Kojima,JPN,0,0,0,,,0,2023
785,100,Yokota,JPN,0,0,2,0.00,0.00,2,2023
786,100,Nishimura,JPN,0,0,0,,,0,2023
787,100,Nishikawa,JPN,0,2,1,0.00,0.00,3,2023
788,100,Rodriguez,DOM,0,0,0,,,0,2023
789,100,Perez,DOM,0,0,0,,,0,2023
790,100,Larysmer,DOM,0,0,0,,,0,2023
791,100,Battistoni,ITA,0,0,0,,,0,2023
792,100,Parrocchiale,ITA,0,0,0,,,0,2023
793,100,Panetoni,ITA,0,0,0,,,0,2023
794,100,P. Piyanut,THA,0,0,0,,,0,2023
795,100,K.Chitaporn,THA,0,2,2,0.00,0.00,4,2023
796,100,P. Supattra,THA,0,0,0,,,0,2023
797,100,M.Sirima,THA,0,0,1,0.00,0.00,1,2023
798,100,Stenzel,POL,0,0,0,,,0,2023
799,100,Witkowska,POL,0,0,0,,,0,2023
800,100,Szczygłowska,POL,0,0,0,,,0,2023
801,100,Murmann,CAN,0,0,0,,,0,2023
802,100,Livingston,CAN,0,0,0,,,0,2023
803,100,Jost,CAN,0,0,0,,,0,2023
804,100,Robitaille,CAN,0,0,0,,,0,2023
805,100,Heppell,CAN,0,0,0,,,0,2023
806,100,Trcol,CRO,0,1,3,0.00,0.00,4,2023
807,100,Kovco,CRO,0,0,1,0.00,0.00,1,2023
808,100,Štimac,CRO,0,0,0,,,0,2023
809,100,Freund,CRO,0,0,0,,,0,2023
810,100,Pashkuleva,BUL,0,0,0,,,0,2023
811,100,Karabasheva,BUL,0,0,0,,,0,2023
812,100,Xu X.T.,CHN,0,1,3,0.00,0.00,4,2023
813,100,Ni F.F.,CHN,0,0,0,,,0,2023
814,100,Wang M.J.,CHN,0,0,0,,,0,2023
815,100,Du Q.Q.,CHN,0,0,0,,,0,2023
816,100,Natinha,BRA,0,0,0,,,0,2023
817,100,Lais,BRA,0,0,0,,,0,2023
818,100,Naiane,BRA,0,0,0,,,0,2023
819,100,Kurtagić,SRB,0,0,0,,,0,2023
820,100,Pušić,SRB,0,0,0,,,0,2023
821,100,Jegdić,SRB,0,0,0,,,0,2023
822,100,Cvetkovic,SRB,0,0,0,,,0,2023
823,100,Wong-Orantes,USA,0,0,0,,,0,2023
824,100,Hentz,USA,0,0,0,,,0,2023
825,100,Nuneviller,USA,0,0,1,0.00,0.00,1,2023
826,100,Gates,USA,0,0,0,,,0,2023
827,100,Yeongyeong,KOR,0,0,0,,,0,2023
828,100,Jungwon,KOR,0,0,0,,,0,2023
829,100,Örge,TUR,0,0,0,,,0,2023
830,100,Aköz,TUR,0,0,0,,,0,2023
831,100,Castillo,DOM,0,0,0,,,0,2023
832,100,Pierzchała,POL,0,0,0,,,0,2023
833,100,Palermo,CAN,0,0,0,,,0,2023
834,100,Pelland,CAN,0,0,0,,,0,2023
835,100,White,USA,0,0,0,,,0,2023
836,100,Meguro,JPN,0,0,0,,,0,2023
837,100,Osmajic,SRB,0,0,0,,,0,2023
838,100,Zelenovic,SRB,0,0,0,,,0,2023
839,100,Fersino,ITA,0,0,0,,,0,2023
840,100,Gennari,ITA,0,0,0,,,0,2023
841,100,Aykaç,TUR,0,0,0,,,0,2023
842,100,Nyeme,BRA,0,0,0,,,0,2023
843,100,Grozer,GER,0,0,3,0.00,0.00,3,2023
844,100,Butigan,CRO,0,0,0,,,0,2023
845,100,B. Tichakorn,THA,0,1,5,0.00,0.00,6,2023
846,100,Fukudome,JPN,0,0,0,,,0,2023
847,1,Vargas,TUR,162,44,110,20.25,51.27,316,2024
848,2,Koga,JPN,159,32,197,17.67,40.98,388,2024
849,3,Van Ryk,CAN,148,71,135,16.44,41.81,354,2024
850,4,Li Y.Y.,CHN,147,36,133,16.33,46.52,316,2024
851,5,Gray,CAN,137,41,178,15.22,38.48,356,2024
