,Rank,Player Name,Team,Points,Errors,Attemps,Average per match,Success %,Total,Year
127,18,Nowakowski,POL,3,12,63,0.25,3.85,78,2021
128,18,S.Ivanov,BUL,3,6,44,0.27,5.66,53,2021
129,18,Muserskiy,RUS,3,14,19,0.43,8.33,36,2021
130,18,M. Souza,BRA,3,11,97,0.23,2.70,111,2021
131,18,Lima B.,ARG,3,22,43,0.43,4.41,68,2021
132,18,Javad,IRI,3,6,16,0.50,12.00,25,2021
133,19,Lyneel,FRA,2,6,24,0.29,6.25,32,2021
134,19,Chavdarov,BUL,2,22,64,0.15,2.27,88,2021
135,19,Kolev,BUL,2,4,94,0.13,2.00,100,2021
136,19,Kaliberda,GER,2,17,61,0.15,2.50,80,2021
137,19,Burggräf,GER,2,6,9,0.13,11.76,17,2021
138,19,O'Dea,AUS,2,14,114,0.13,1.54,130,2021
139,19,Mote,AUS,2,10,129,0.14,1.42,141,2021
140,19,Otsuka,JPN,2,14,66,0.13,2.44,82,2021
141,19,Vadi,IRI,2,6,47,0.22,3.64,55,2021
142,19,Jovović,SRB,2,13,142,0.13,1.27,157,2021
143,19,Vinčić,SLO,2,1,14,0.14,11.76,17,2021
144,19,Z. Štern,SLO,2,8,22,0.12,6.25,32,2021
145,19,Možič,SLO,2,18,35,0.12,3.64,55,2021
146,19,Parkinson,NED,2,9,68,0.15,2.53,79,2021
147,19,Vlasov,RUS,2,23,44,0.13,2.90,69,2021
148,19,K. Shoji,USA,2,6,39,0.15,4.26,47,2021
149,19,Patch,USA,2,19,26,0.22,4.26,47,2021
150,19,B. Sander,USA,2,9,13,0.18,8.33,24,2021
151,19,Maar,CAN,2,14,22,0.20,5.26,38,2021
152,19,Blankenau,CAN,2,9,90,0.14,1.98,101,2021
153,19,Loeppky,CAN,2,9,54,0.14,3.08,65,2021
154,19,Kurek,POL,2,28,59,0.18,2.25,89,2021
155,19,Spirito,ITA,2,4,61,0.13,2.99,67,2021
156,19,Cavuto,ITA,2,9,37,0.13,4.17,48,2021
157,19,Conte,ARG,2,35,104,0.13,1.42,141,2021
158,19,Plak,NED,2,12,73,0.15,2.30,87,2021
159,19,Kaczmarek,POL,2,9,47,0.17,3.45,58,2021
160,19,Śliwka,POL,2,9,66,0.13,2.60,77,2021
161,19,Kujundžić,SRB,2,6,25,0.14,6.06,33,2021
162,19,S. Marouf,IRI,2,9,99,0.15,1.82,110,2021
163,19,Röhrs,GER,2,3,3,0.15,25.00,8,2021
164,19,Otake,JPN,2,14,16,0.33,6.25,32,2021
165,19,Keemink,NED,2,3,76,0.20,2.47,81,2021
166,19,Azeez,AUS,2,15,31,0.17,4.17,48,2021
167,19,V.Stankov,BUL,2,12,36,0.20,4.00,50,2021
168,19,Sanchez Pages,ARG,2,2,25,0.29,6.90,29,2021
169,19,Lucas,BRA,2,13,37,0.40,3.85,52,2021
170,20,Toniutti,FRA,1,11,98,0.07,0.91,110,2021
171,20,Gueye,FRA,1,2,9,0.06,8.33,12,2021
172,20,Stankov,BUL,1,0,4,0.11,20.00,5,2021
173,20,Kartev,BUL,1,15,79,0.08,1.05,95,2021
174,20,Garrett,AUS,1,22,45,0.08,1.47,68,2021
175,20,Fujii,JPN,1,5,74,0.11,1.25,80,2021
176,20,Takanashi,JPN,1,16,66,0.07,1.20,83,2021
177,20,Reza,IRI,1,6,33,0.09,2.50,40,2021
178,20,Mojarad,IRI,1,15,48,0.09,1.56,64,2021
179,20,Gasparini,SLO,1,10,17,0.06,3.57,28,2021
180,20,Videčnik,SLO,1,2,20,0.07,4.35,23,2021
181,20,Van Der Ent,NED,1,9,41,0.09,1.96,51,2021
182,20,van Zeist,NED,1,8,34,0.08,2.33,43,2021
183,20,De Weijer,NED,1,13,67,0.09,1.23,81,2021
184,20,Łomacz,POL,1,3,65,0.06,1.45,69,2021
185,20,Semeniuk,POL,1,16,47,0.08,1.56,64,2021
186,20,Kłos,POL,1,7,60,0.09,1.47,68,2021
187,20,Mosca,ITA,1,5,108,0.07,0.88,114,2021
188,20,Sole,ITA,1,16,108,0.09,0.80,125,2021
189,20,Van Berkel,CAN,1,4,96,0.07,0.99,101,2021
190,20,Jendryk,USA,1,7,35,0.08,2.33,43,2021
191,20,Todorović,SRB,1,6,47,0.08,1.85,54,2021
192,20,Poglajen,ARG,1,14,64,0.09,1.27,79,2021
193,20,TJ,CAN,1,6,58,0.12,1.54,65,2021
194,20,João Rafael,BRA,1,2,6,0.25,11.11,9,2021
195,21,Diez,FRA,0,0,0,,,0,2021
196,21,Petrov,BUL,0,15,27,0.00,0.00,42,2021
197,21,V. Ivanov,BUL,0,0,0,,,0,2021
198,21,M. Ivanov,BUL,0,0,0,,,0,2021
199,21,Böhme,GER,0,2,38,0.00,0.00,40,2021
200,21,Zenger,GER,0,0,0,,,0,2021
201,21,Baxpöhler,GER,0,4,29,0.00,0.00,33,2021
202,21,Perry,AUS,0,0,0,,,0,2021
203,21,Butler,AUS,0,1,2,0.00,0.00,3,2021
204,21,Taylor,AUS,0,10,16,0.00,0.00,26,2021
205,21,Aubrey,AUS,0,5,3,0.00,0.00,8,2021
206,21,Flowerday,AUS,0,1,0,0.00,0.00,1,2021
207,21,Greber,AUS,0,0,0,,,0,2021
208,21,Fukuzawa,JPN,0,7,19,0.00,0.00,26,2021
209,21,Kentaro,JPN,0,18,23,0.00,0.00,41,2021
210,21,Yamamoto,JPN,0,0,0,,,0,2021
211,21,Ogawa,JPN,0,0,0,,,0,2021
212,21,P. Fayazi,IRI,0,1,16,0.00,0.00,17,2021
213,21,Hazrat,IRI,0,0,0,,,0,2021
214,21,A.Ghafour,IRI,0,8,18,0.00,0.00,26,2021
215,21,A. Shafiei,IRI,0,3,28,0.00,0.00,31,2021
216,21,Arman,IRI,0,0,0,,,0,2021
217,21,Kapur,SRB,0,0,0,,,0,2021
218,21,Pekovic,SRB,0,0,0,,,0,2021
219,21,Batak,SRB,0,0,0,,,0,2021
220,21,Simic,SRB,0,1,21,0.00,0.00,22,2021
221,21,Lisinac,SRB,0,0,2,0.00,0.00,2,2021
222,21,Kovač,SRB,0,3,2,0.00,0.00,5,2021
223,21,Štalekar,SLO,0,2,8,0.00,0.00,10,2021
224,21,Klobucar,SLO,0,0,1,0.00,0.00,1,2021
225,21,Kovačič,SLO,0,0,0,,,0,2021
226,21,Dronkers,NED,0,0,0,,,0,2021
227,21,Jorna,NED,0,5,25,0.00,0.00,30,2021
228,21,Ottevanger,NED,0,0,0,,,0,2021
229,21,Van Solkema,NED,0,1,11,0.00,0.00,12,2021
230,21,van Schie,NED,0,5,11,0.00,0.00,16,2021
231,21,Semyshev,RUS,0,3,16,0.00,0.00,19,2021
232,21,Baranov,RUS,0,0,0,,,0,2021
233,21,Golubev,RUS,0,0,0,,,0,2021
234,21,Hanes,USA,0,1,6,0.00,0.00,7,2021
235,21,Averill,USA,0,4,33,0.00,0.00,37,2021
236,21,Watten,USA,0,0,0,,,0,2021
237,21,E. Shoji,USA,0,0,0,,,0,2021
238,21,Pereira,CAN,0,0,0,,,0,2021
239,21,Jansen Vandoorn,CAN,0,11,67,0.00,0.00,78,2021
240,21,Bann,CAN,0,0,0,,,0,2021
241,21,Walsh,CAN,0,6,20,0.00,0.00,26,2021
242,21,Demyanenko,CAN,0,1,7,0.00,0.00,8,2021
243,21,Wojtaszek,POL,0,0,0,,,0,2021
244,21,Zatorski,POL,0,0,0,,,0,2021
245,21,Balaso,ITA,0,0,0,,,0,2021
246,21,Scanferla,ITA,0,0,0,,,0,2021
247,21,Federici,ITA,0,0,0,,,0,2021
248,21,Matheus,BRA,0,0,7,0.00,0.00,7,2021
249,21,Vaccari,BRA,0,2,5,0.00,0.00,7,2021
250,21,Maique,BRA,0,0,0,,,0,2021
251,21,Thales,BRA,0,0,0,,,0,2021
